Name and status of region,ANSI,Capitale,pop_num
New Jersey,NJ,Trenton,9288994
Kansas,KS,Topeka,2937880
Florida,FL,Tallahassee,21538187
Illinois,IL,Springfield,12812508
New Mexico,NM,Santa Fe,2117522
Utah,UT,Salt Lake City,3271616
Oregon,OR,Salem,4237256
Minnesota,MN,Saint Paul,5706494
California,CA,Sacramento,39538223
Virginia,VA,Richmond,8631393
North Carolina,NC,Raleigh,10439388
Rhode Island,RI,Providence,1097379
Arizona,AZ,Phoenix,7151502
Washington,WA,Olympia,7705281
Oklahoma,OK,Oklahoma City,3959353
Tennessee,TN,Nashville,6910840
Alabama,AL,Montgomery,5024279
Wisconsin,WI,Madison,5893718
Arkansas,AR,Little Rock,3011524
Nebraska,NE,Lincoln,1961504
Michigan,MI,Lansing,10077331
Missouri,MO,Jefferson City,6154913
Mississippi,MS,Jackson,2961279
Indiana,IN,Indianapolis,6785528
Hawaii,HI,Honolulu,1455271
Montana,MT,Helena,1084225
Connecticut,CT,Hartford,3605944
Pennsylvania,PA,Harrisburg,13002700
Kentucky,KY,Frankfort,4505836
Iowa,IA,Des Moines,3190369
Colorado,CO,Denver,5773714
New Hampshire,NH,Concord,1377529
Ohio,OH,Columbus,11799448
South Carolina,SC,Columbia,5118425
West Virginia,WV,Charleston,1793716
Nevada,NV,Carson City,3104614
Massachusetts,MA,Boston,7029917
Idaho,ID,Boise,1839106
Louisiana,LA,Baton Rouge,4657757
Texas,TX,Austin,29145505
Maine,ME,Augusta,1362359
Georgia,GA,Atlanta,10711908
Maryland,MD,Annapolis,6177224
New York,NY,Albany,20201249
